评分,评论内容,评论时间,点评总数,上传图片
5.0,酒店位置很方便，离公交站和轻轨站都很近，附近有很多热门旅游景点。酒店干净卫生，设施智能化，前台服务很热情，进门就会赠送小饮品，特别是叶子小姐姐，服务特别好，给她点个赞�，每次住酒店都会选择这家。,发表于2020-01-16,2.0,
5.0,酒店位置很好，就在解放碑，步行2min就到地铁站，步行可至三峡博物馆和人民大会堂。 酒店服务态度很好，帮我们升级了房间，布局也很合理。谢谢西西和高源两个小姐姐的服务～特别耐心温柔热情～水和零食都是免费的，还能帮我们把行李送到火车站～,发表于2020-01-16,1.0,
5.0,出差办事过来住了一天，也是在携程上看评分很高才选的这家酒店。酒店的位置不是很好找，但整体入住体验非常满意。房间设计感很强（值得推荐）、很干净，位置出行也很方便。下次来重庆还会选择这家。,发表于2020-02-21,5.0,
5.0,酒店特别特别干净，装修风格属于北欧清新，环境一流，酒店服务员服务态度特别好，看我们有老人，帮忙将行李送到了楼上，还耐心讲解房间和设施使用方式。地理位置好，出门过马路就是2号地铁大溪沟站，很方便。离洪崖洞和解放碑都不太远，强烈推荐，五星好评！,发表于2019-07-22,4.0,13.0
5.0,离地铁大溪沟站超级近！步行2分钟。楼下就是公交站牌，吃饭也很方便，小吃，炒菜都有！地理位置闹中取静，也算是江景房吧。前台，大堂工作人员态度超级好，帮忙拿行李，送进房间，微笑让人感觉如沐春风好吗，好温柔！总之真的是各种好！带着老人和孩子，都很满意！还可以免费停车，真的是不能更好了！,发表于2019-07-20,9.0,9.0
5.0,外边早餐超级多，我定的这件不用加床，床与窗户之间的榻榻米式地板我睡正好，前台漂亮小姐姐安排给我多一床被子很舒服，大床房足够带小孩了，位置不远不近很安静，出门下坡就是公交站，门口能停车。 服务很好，入住是小姐姐送了孩子酸奶，小哥哥帮忙把行李送至客房并介绍了该告诉你的。 每天都打扫的很彻底，入住第二天，室温帮你调好了，热热的回来进屋感到非常舒服。 这里在小区环抱之地，很安静巧级适合睡觉，床品舒适。 大厅，门口都有小清新静观可拍照。 出门溜达到滨江路离洪崖洞步行是不远不近的体验，适合牵手溜雾都，去那那都方便，走街串巷在山城。,发表于2019-07-18,6.0,25.0
5.0,超级超级满意，大大的赞�！！前台小姐姐和今天的刘航帅哥服务态度真的好到爆！      房间很安静，也不潮湿。凌晨带的小孩到达酒店，  虽然中间有点小插曲，房间开错了，但是还好前台小姐姐及时解决，并且不停道歉。很能理解他们处理问题的效率以及态度，很赞。小孩被蚊子叮了包，到前台去找小姐姐要驱蚊水，小姐姐贴心寻找并送到房间！！       临走退房时是一个叫刘航的小哥哥，人帅态度好。  小孩上车后还不停地给我说:妈妈，那个叔叔人特别好。    小刘帅哥贴心问我们住的如何，还送给孩子甜点和养乐多，真的超赞，这种超赞的态度是我们全家这么多年住酒店都没有遇到过的。  下次来了依然住，已推荐给身边要来的朋友 。极力推荐，真的超棒，希望你们越做越好！,发表于2019-08-20,3.0,10.0
5.0,非常不错的，适合旅游，也适合出差，出行都很方便，距离各个景点都还挺近的。另外需要注意洗澡毛巾都在台下。,发表于2019-10-14,11.0,4.0
5.0,整个旅行最满意的酒店，房间够大，洗浴，卫生间，浴缸都是独立的，超级超级推荐，有朋友去重庆的话一定会力推,发表于2019-12-03,2.0,2.0
5.0,来之前就加了微信，询问问题也很及时的回答，酒店环境不错，是我们喜欢的类型，尤其是房间的香薰，一起住的朋友特别中意。交通便利，附近公交轻轨都有，打车去景点也不贵，酒店的工作人员很热情，住了2天，碰到葵花�，太阳�，小汐，小刘几位，会主动询问是否需要帮助。最近有点咳嗽，入住的时候还一直提醒我记得吃药。，谢谢这两天的陪伴，如果不是后续行程安排，也许会再续住讷！�,发表于2019-11-01,4.0,5.0
5.0,一般选择酒店会先看差评，差评内容能接受就选择，最后没准反倒有惊喜。这次在重庆选择酒店也是选了很久最终选择了来住，首先要说地理位置，可以免费停车，有停车位，出来就是轨道交通2号线大溪沟站，到李子坝穿楼站只要2站，到解放碑也只要2站，非常方便，楼下有很多火锅店。酒店进去有淡淡白茶香味儿，很凉快，小哥哥小姐姐都很热情亲切，办理入住小哥哥会帮你拿着行李送你到房间并帮你打开空调。大堂有免费的牛乳饼干和瓜子儿，雨伞也用上了，去重庆2天，下了两天雨，哈哈哈哈。房间的水真的是无限供应，退房的时候，小哥哥小姐姐还会很亲切的问路上是否需要带瓶水。房间设计简约风，配有智能马桶座，洗澡水很冲，拖鞋舒服，还有茶叶和小茶杯供应。早餐不是自助的，需要预定套餐，28一份，3种套餐。酒店整体感觉很干净，住的很满意。枕头稍微有点软。,发表于2019-08-05,18.0,33.0
5.0,早餐没记错的话应该是7点才提供。我出门早，没赶上。看过菜单，中西结合。我订的大床房，能否加床不知道。酒店装修简洁干净，适合带孩子住。酒店位置离解放碑还是有一段距离的，离大溪沟地铁站比较近，附近还有一个公交站到洪崖洞，解放碑都有直达。 前台的工作人员都很礼貌和热情，让人感觉非常亲切和放松。再有需要肯定会再回订的。,发表于2019-08-04,1.0,7.0
5.0,位置还好，离地铁很近，欣欣和可可的服务态度也很亲切、温柔。就是房间的窗户太小，下次不会选择这种房型。,发表于2020-03-22,1.0,
5.0,早餐很不错，几种套餐供选择，服务态度超级好，送了酸奶和伴手礼，体验感很棒，相对安静，适合拍照发圈，很文艺的，非常满意的一次住宿，推荐！！！,发表于2019-10-14,4.0,8.0
5.0,1.酒店位置很好，门口就是轻轨站，出行很方便；2.酒店设施齐全干净；3.服务热情周到，办入住的时候前台送了酸奶和曲奇饼干，还有工作人员帮忙拿行李到房间。总体感觉很不错！,发表于2019-10-06,9.0,11.0
5.0,第一次在旅行网上对酒店的评价，很赞！环境、服务态度相比其他经济型酒店绝对赞。性价比高！,发表于2019-11-26,1.0,3.0
5.0,都挺好，出行方便，前台小刘服务非常好,发表于2019-11-29,5.0,7.0
5.0,真的服务特别好，订房间的时候备注希望给一间好的房间，到店时免费升级成大床房，尤其小刘超级好、特别耐心，帮了我们很多忙。前台欢欢也很热情，下次有机会还住这里。,发表于2019-09-07,1.0,4.0
5.0,真是赞爆的酒店～推荐你们来这里都住这个酒店～来成都这一路7.8百的也住过～3.4百的也住过～老爸老妈对这家酒店赞不绝口！！优点基本都占了～位置好～房间设施新。服务超级好～赶上五星酒店了。酒店很干净。前台小哥哥小姐姐都超级可爱好温柔又细心。叫高原的小美女好温柔哦～还有个高个子的男生也特别好。好像老板对于挑选员工和培训特别到位。基本上每一个都很棒。大家选贵一点房型的面积大点宽敞些。关于窗户这点大家要注意了～我住的房型是内窗～就是打开不是户外～我觉得酒店应该提前标注一下。,发表于2019-09-04,11.0,46.0
5.0,在携程网上看了很久，决定住这家酒店，我们定了两间精致房，办入住时，太多惊喜哈哈，前台小姐葵花服务很好，免费升级雅致房间给我们，还送养乐多，零食。带我们去停车（免费），我们行李比较多，小哥太阳、竹林、一博帮忙从车上搬下来，在送到房间，真心觉得服务好好。酒店位置很好，交通便利。最贴心的是退房下雨，他们送我们雨伞、水。很不错的入住体验，下次还会选择来住。,发表于2019-09-01,2.0,4.0
5.0,连住两晚，超级好，一开始订了一晚，因为在网上看到很多差评，处于新开业的酒店想着卫生环境肯定不会差，就定了一晚，回来以后立刻续住第二晚，真怀疑那些差评是不是同行业故意捣乱，第一，酒店房间很新很干净，装修也很有创意，第二前台小哥哥小姐姐服务超级热情，还很温柔，以后来重庆还住着这里,发表于2019-09-11,13.0,3.0
5.0,看到5星才去的，结果真的很棒，环境好，卫生干净，服务也是超级的温馨给力，很棒的体验！唯一不足就是没有一次性马桶垫，再准备旅行装的护肤乳就更完美了！实体店的样子和他们网上发的图片一模一样，所以就没有照照片了！棒棒……,发表于2020-01-14,2.0,
5.0,位置靠近2号线大溪沟地铁站，到解放碑、重庆市人民大礼堂都很近，出行非常方便。房间干净、舒适，前台竹林、可可都很热情，还免费帮忙升级了房间，延迟了退房，推荐入住。,发表于2020-01-12,1.0,
5.0,旅馆陈设很好，简洁实用，智能马桶用起来很舒服。位置很好，闹中取静。近轻轨，公交站，出行很方便，到市中心都只有几站路。附近有一家小面馆味道不错，有家土鸡汤中餐馆也不错。,发表于2020-01-11,6.0,
5.0,"地理位置很好找 坐机场大巴和轻轨都能到 
前台小姑娘 很漂亮 办入住 给了两瓶养乐多 有给升级了房间
其次 非常喜欢他们的设计 而且全新 住着非常舒服
五星好评 推荐大家",发表于2019-07-20,2.0,12.0
5.0,从未评论酒店，来住是第一次，因为太满意了，智能马桶，和风感和现代感交融，住的大床自己升级换成了阳台房，不能太满意，所以后来住了一晚wfc酒店后又住了来住另外一家，在日本这样的酒店差不多两千一晚，细节非常不错，很舒适，前台小姐姐很美腻，很幸运出门能住上这样的酒店，作为消费者感觉不容易，十分好评。,发表于2019-08-19,3.0,14.0
5.0,酒店位置非常好，离二号线大溪沟站很近，周围有本土的火锅店和口碑美食，离三峡博物馆近，房间干净，安静，设施新，马桶是电动的，接待的服务人员态度都很热情，还给升级了房型，感谢高原，小汐，竹林，小刘，还有一位短发小哥哥办理的入住，推荐大家来重庆入住这里，入住心情很好。,发表于2019-10-29,4.0,1.0
5.0,酒店位置还不错，设施也都挺好，服务也比较热情，窗户比常规的要小一点，窗户像是内窗没有对着外界，倒也安静，有利有弊吧，整体来说是比较好的！,发表于2020-01-23,31.0,
5.0,酒店环境很好，前台的工作人员很热情，登记入住时送了免费的酸奶和小点心，还送了两份早餐卷，早餐的套餐份量很足，而且种类也多，有抄手、小包子，紫薯、西瓜。酒店交通便利，离公交站和轻轨站都很近，闹中取静。,发表于2019-10-02,1.0,2.0
5.0,非常完美的酒店体验，全五星真不是盖的。从进店就贴心送上冷饮，工作人员还专程带领到房间介绍设施，走的时候还问需不需要带矿泉水路上喝。欢欢和葵花两位前台小姐姐全程微笑服务，下次必须要再来！,发表于2019-08-27,1.0,4.0
5.0,环境非常好，装修小清新风格，设施设备都很新，热水很棒，马桶是智能的，房间也很大，2号线大溪沟站出来就到了，服务态度也非常好，帮拿行李，微笑服务，入住还送了孩子养乐多，前台的欢欢和葵花很亲切，总之下次来还会住这里！,发表于2019-08-28,2.0,5.0
5.0,酒店位置优越，酒店特别的贴心，送了早餐、水果拼盘、酸奶养乐多，前台行李小美女特别的温柔，这是我住过所有酒店服务态度最好的，一点都不夸张，距离步行街、洪崖洞都特别的方便。入住体验特别的温馨。,发表于2019-08-25,1.0,4.0
5.0,这个酒店刚好在大溪沟地铁站出口附近，大概步行250米，在一个大坡上。拖着行李刚到酒店，就看到工作人员热情的出门帮提行李，在办理入住过程和我们可说了很多细节，特别贴心。还帮我们提行李上房间，再次讲解了房间物品的摆放位置和各个功能，房间很干净，整洁。马桶是带冲洗功能的。附近有大礼堂和博物馆，走路大概8分钟就到了。坐地铁两个站就到重庆最繁华的街区。网红地点洪崖洞也是需要坐2.3个站就到了。,发表于2019-09-10,1.0,3.0
5.0,在等飞机的时候，浏览了一下评价，觉得这家酒店环境不错，服务也很好，所以试着定了一晚。凌晨到的时候，前台小姐姐给我换了大床房，还送了一盒酸奶给我，还把我送到房间，服务态度超级好！房间环境非常干净温馨，超大电子玻璃镜，还有电子马桶，更主要的是拖鞋，用包装袋装好，质量很好，穿着脚上超级舒服，都忍不住想带一双回家。我是做销售的，住过的酒店无数，这家酒店的拖鞋，是我用过的最舒服的。第二天，毫不犹豫的连续预定了二天，前台小姐姐总是带着笑容，每天早上我出门，都要问问我，重庆天气热，需要带一瓶水吗？每次不好意思，所以没要，做点生意不容易，少增加别人无谓的成本是基本公德吧。其实告诉大家，客房里面有四瓶水，前台小姐姐第一天就告诉我，不收钱，随便喝，这也是亮点，有哪家酒店会放这么多水?这次重庆之行，这家酒店给重庆加分了，非常棒������对了，忘了告诉大家，前台那位真诚，热情，可爱的小姐姐，请允许我暴露一下她的名字:高原，很遗憾，没能留下她的微信，但是这有什么关系，来重庆，到来住酒店，你会邂逅她的！下次来，还住来住，就是这么简单。,发表于2019-09-07,4.0,3.0
5.0,我就住在隔壁小区的，每次路过酒店门口都要驻足观望一下，因为的确太精致太漂亮，入住非常满意，酒店非常干净，还有一套小功夫茶具可以使用，仙人球非常非常漂亮，镜子和马桶比较nice，最重要的还是酒店真的非常卫生干净 。酒店的欢欢、葵花还有高原服务态度非常专业，微笑甜美，态度专业，有时朋友来家里住不下还会送到这里来的!,发表于2019-09-09,1.0,3.0
5.0,我定的是没有早餐的，但是看到餐厅环境，忍不住还是加钱吃了早餐。首先说一下酒店环境。环境挺不错的，设施也很先进，酒店位置超级超级好，出行特别方便，门口就有公交站，地铁站也离得特别近。去市内的景点，完全没必要跟团，住在这个酒店，步行，坐地铁都可以到达，很不错的。果断推荐给了朋友。,发表于2019-09-04,5.0,5.0
5.0,出差选择的这家酒店，太舒服了，服务超级棒，前台小姐姐都非常的温柔热情，出行非常方便，一楼都是大型餐厅，很有逼格，早餐非常的丰富，第一天早餐我选择其中套餐，哇，太美味的营养早餐。值得推荐。晚上就在餐厅饮酒，看电影。炒喜欢的一家有餐厅的酒店。,发表于2019-09-05,8.0,15.0
5.0,画重点，自从住了这个酒店后面的行程只要有尚朗的我都会选！后悔之前在成都的时候没有住同系列的，不管是前台还是领班都让人有回家的感觉。特别自驾的话，停车也非常方便！以后去其他城市有来住的我都会优先选择的,发表于2020-01-13,10.0,
5.0,这酒店太棒了附近有吃的地方重庆小面火锅烧饼什么都有，酒店内外都很干净，非常满意，打车去洪崖洞也就2公里，前台服务很周到，服务我们的是西西和竹林，笑容很棒，也很体贴细心，完全体验到高级待遇��������,发表于2020-01-04,1.0,
5.0,酒店服务不错，赶了一夜飞机，困的不行。到酒店后，要求安静房，前台了解就升级了。非常贴心。值得推荐一家酒店，下次来重庆还住这家！ 特别是行李管家服务很贴心，晚上飞机，免费帮送行李到机场。给下午出游带来极大便利，很棒！,发表于2020-01-02,1.0,
5.0,酒店设施齐全，出入方便，出门走两分钟就到大溪沟地铁站，到解放碑、洪崖洞很方便，酒店闹中取静。第一天晚上凌晨到，入住一楼，第二天免费升级至雅致房，尤其巧巧、葵花服务特别好，大家可以放心入住，重庆之行选择来住酒店棒棒哒�,发表于2019-08-14,1.0,5.0
5.0,服务态度非常好，距离地铁站也很近，交通便利。离解放碑只有两站，不想乘坐轻轨也完全可以一边欣赏江井一边步行到达。,发表于2019-11-26,1.0,1.0
5.0,环境很好，很安静，5分钟步行到2号轻轨站，适合看风景！（两个方向都有，东边江景西边高架穿楼，车头效果极佳）入住的时候前台免费给升了级，房间也很干净！配套前面大佬介绍的太多了就不赘述了，总之性价比没得说！有机会还住这～前台小姐姐服务很周到，给个赞！@葵花&竹林,发表于2019-10-24,28.0,12.0
5.0,酒店离轻轨站非常近走一会儿就到了，服务态度也非常棒，过去的时候赶上周末了，前台小姐姐还给我升级了房间，每天早上出门的时候都会问我要不要水，行李寄送也很方便，我是晚上的飞机，中午在前台办理，下午出去浪了一圈后去机场拿的，特别感谢高原小姐姐和太阳小哥哥一直很有耐心的帮我。因为那几天一直赶着行程出门玩儿，早出晚归的，也没有时间感受一下早餐，下次有机会要感受一下。,发表于2019-10-22,2.0,1.0
5.0,小夕.太阳印象最深 体贴热情 男的帅 女的漂亮� 酒店没得说 比亚朵住着都舒服� 下次还会来,发表于2019-10-26,5.0,3.0
5.0,出行方便，周边配套设施齐全，服务态度好，免费帮我升级了房型，整个酒店都是ins风，干净！,发表于2020-04-06,5.0,3.0
5.0,酒店离大溪沟轻轨站很近，所以无论去哪个景点都很方便，沿江边可以步行至洪崖洞。酒店位于居民区附近，吃的不用特意去找那些网红店，居民区的小巷子里才是最正宗的！酒店的早餐很丰盛，自助扫码点餐即可，睡到10点下去都可以！前台小刘服务超好，态度很热情，每次看见宝宝都会送些小零食，宝贝很喜欢他！,发表于2019-09-24,2.0,5.0
5.0,房间宽敞，酒店设计有特色，服务人员态度超好，服务意识太赞！早餐可以套餐，可以单点，但是味道一般般。地理位置还好，但很多出租车司机不知道酒店具体位置，要靠导航。,发表于2019-10-09,7.0,25.0
5.0,很好的一次住宿体验～ 临到抵达重庆的当天上午才确定了酒店，再各个平台一度挑花眼，对当地也不熟悉，看了很多民宿也没敢定，最后再各个点评参考之下定了来住，完全不知道地理位置如何。抵达酒店后发现酒店在一个坡度很大的斜坡上，简约风，设施都很新，屋子不大，倒也够用了，办理入住非常方便快捷，前台妹妹们还送了小酸奶给我们，还给推荐了周围的老火锅吃，态度非常好。 房间内电视有会员，玩了一天回来可以看看电影啥的，还有茶叶提供，很雅致。 抵达的第一天晚上去洪崖洞回来已经很晚了，马桶还出现漏水问题一度很心塞，不过十一点了工作人员也很快上门来解决了，都很nice，还是很满意的。 后来摸清楚周围环境之后觉得酒店位置很好，没有挤在解放碑洪崖洞周边，距离2号线大溪沟站不远，斜坡走上来不是很累，附近超市药店吃饭的一应俱全，打车也方便，性价比非常高，很满意的服务。最后在床头柜看到有免费行李运送服务，最后一天晚上的飞机，这个服务太棒了，直接放到前台退房之后有人给送去江北机场，在外面再玩一天完全不用想着回去拿行李，真的方便很多！最后表扬服务很好的妹妹们，可惜忘记她们的名字了～,发表于2019-09-24,7.0,2.0
5.0,酒店位置便利，离大溪沟地铁站步行三分钟，去博物馆大礼堂步行距离，解放碑洪崖洞稍远要坐公交。免费升级了江景房，景色不错。服务超贴心，员工热情温柔，微信小管家随叫随到。早餐28元，物美价廉，有事早出门还可以提前供应。最重要的隔音比那些网红公寓好太多了,发表于2019-09-19,7.0,6.0
5.0,真的让人很意外的酒店，各方面好得没得挑。交通旁边就是地铁站，还能经过网红站“李子坝”。去解放碑八一街就三站路，对于各种问题前台小哥哥小姐姐都耐心回答，还给我免费升级了房型，房间很干净舒服，卫生间干湿分离，尤其是那个门的设计一推一拉，很合理。早上下来吃了个早饭，可以单点，味道不错。性价比极高的酒店，下次来首选。希望能一直保持下去,发表于2019-09-18,26.0,12.0
5.0,服务热情（西西），免费升级了大床房，卫生，早餐有4种套餐。很不错的一次住宿体验。,发表于2020-01-17,1.0,
5.0,酒店跟满意，位置不错，离轻轨和美食都很近，从解放碑步行回酒店40分钟。服务很好，矿泉水无限量供应，新入住还有养乐多。客房服务员稍有点粗心，后面两天浴巾地巾没给全。,发表于2019-08-01,48.0,19.0
5.0,酒店的环境很不错，卫生干净，服务非常好，前台小姐姐非常有耐心。位置就在大溪沟地铁站附近，出去玩也方便。早餐28元一份，味道很不错。带小孩出来玩不错的选择。,发表于2019-08-01,2.0,6.0
5.0,服务态度特别好，还给我们免费升级了房间，以后来重庆还会继续住这里的，早餐也很好吃，五星好评，完美的一次旅行。,发表于2019-09-10,7.0,4.0
5.0,酒店环境优雅，安静。设计独特，非常人性化。前台服务员很暖心热情❤️。距离地铁2号线和公交车站非常近，出门几分钟就到。,发表于2019-07-26,4.0,12.0
5.0,位置方便，性价比高，整個酒店非常有設計感，所有用的用品品質很好，CRT2号就在旁邊，公交也很多！太棒的體驗,发表于2019-09-29,47.0,83.0
5.0,酒店有停车场，负责接待的小哥哥非常不错，热情周到很绅士!到前台办理入住手续的时候，前台小姐姐给我们每人一瓶冰的养乐多瞬间感觉凉快很多。真有宾至如归的感觉，下次到重庆一定会再到这里住宿。房间是简约小清新的风格，住在这酒店就是一种享受。,发表于2019-08-30,2.0,3.0
4.5,位置不错，离地铁站很近，在住宅区很清静，边上火锅烧烤小面超市都有。退房的时候前台叶子和高原很热情，有问必答，还可以直接把行李送到机场，服务很好,发表于2020-01-02,1.0,
5.0,酒店就在大溪沟地铁站旁边，出行非常方便，客房内特别干净，还很贴心。西西，叶子，竹林几位小姐姐的服务非常好，只要有问题她们都能帮忙解决！,发表于2019-12-30,1.0,
5.0,我一直是个懒于评论的人，但是这一次我要积极的夸夸酒店，这是我住过的这个价位酒店里入住体验最棒的一次。一进门前台小姐姐笑脸相迎，并免费给我升级了房间，入住的时候是中午还没吃上饭，可小姐姐却暖心的给了我一盒酸奶，还亲自带我去房间。入住后，房间干净宽敞、马桶还是智能的，桌角为避免碰撞还包了软角，细节体现了品质！退房时候很早叫叶子的小姐姐也是贴心送上酸奶和小糕点。还有最重要的酒店交通位置交通很便利，离解放碑很近，离地铁站也超近，总之棒棒哒,发表于2019-12-29,19.0,
5.0,第一次来重庆是为了看我偶像杨文昊的舞蹈专场，他是土生土长重庆人。选的这家酒店真的是选对了，环境特别好，地点去哪都很方便，价格还不贵。一起来的小伙伴有选旁边的几个公寓，都不方便，环境也差很远。还得说一下前台的小刘和叶子的服务特别贴心，还细心真的有求必应。挺开心的重庆之旅，最后还可以帮忙把行李送到机场，我就可以轻松去玩最后到机场拿行李就可以了啦,发表于2019-12-29,1.0,
5.0,酒店位置不错，有免费的停车场，还帮忙把行李拿到了房间，房间布置很小清新，工作人员特别好，前后给了4盒酸奶，喝的我都不好意思了，叶子和竹林都不错喔，感谢所有的工作人员,发表于2019-12-27,3.0,
5.0,首先要表扬的就是可可，西西两位小姐姐！！真的是服务态度太好了！！帮忙切水果，帮忙拿挂烫机给我，帮忙给我晾衣钩！！酒店很干净，设施齐全！早餐也很好！总之这次来重庆很开心！尤其感受到了重庆人民的热情！！下次还会来住这个酒店！,发表于2019-12-30,4.0,
5.0,酒店闹中取静，清新雅致，特别是门口和大堂的装饰让人耳目一新，酒店的客服人员叶子、高原服务热情，还帮我们升级了房间，是值得推荐的一家性价比超高的宾馆。,发表于2019-12-27,1.0,
5.0,来重庆的第二天住的酒店，太满意了，住的套房智能房间，虽然开始有点问题，但很快解决了，素质高，特别是小王，竹林，服务态度好，很好的入住体验，会推荐朋友，浴缸泡澡很舒服，房间又大又舒服，喝茶都是矿泉水，备四瓶不够立刻又送来，要三瓶还是给送了四瓶，酸奶也是，总之住过这么多酒店，这家真是太值得推荐了。,发表于2019-12-25,3.0,
4.8,除了隔音一般，其他都很好！可可、高原小姐姐的微笑如沐春风！地铁二号线很近！周围有一些小饭店！还有农贸市场！不是商业街区哦⊙∀⊙！,发表于2020-01-13,8.0,3.0
5.0,有免费停车场，位置靠轻轨，十几分钟沿江可到解放碑等地，早餐可以但要自费，附近小吃店的早餐物美价廉，十多元即可。,发表于2019-11-17,43.0,7.0
5.0,住的很好，离店时可可还送了酸奶，矿泉水，新春小礼物  ，谢谢。,发表于2020-01-17,2.0,2.0
5.0,服务真的非常好，很暖心，一到店里 两个店员影响很深。高原 和太阳，接待朋友一样，把我们送到房间还给我们酸奶，房间也很干净，空间也大，真的很不错的体验，有时候到一个城市，好的店员会为酒店加分，好的酒店真的会为城市加分，而这一切 来住真的做到了，发自内心的感谢,发表于2019-09-10,1.0,2.0
5.0,服务不输五星，住过性价比最高的酒店了，屋里的东西都是免费的，水无限畅饮，还赠送酸奶，用积分兑换升级了房型，棒棒哒,发表于2019-10-27,19.0,3.0
5.0,酒店有免费的停车位，停车很方便，适合自驾游的朋友，酒店前台的叶子和高原服务态度很好，还给免费送了重庆小面，味道很好，性价比很高的酒店，值得推荐。,发表于2020-01-02,119.0,23.0
5.0,服务非常不错，位置不错，硬件有待提升，早餐分量太少,发表于2019-12-14,3.0,19.0
5.0,好久不写点评的我来了，这次入住真的超级刷新我对重庆的好感，刷新了我对酒店的好感，真的超级贴心，而且位置很方便，就在2号线大溪沟旁边，步行不到5分钟，去解放碑2站地铁就可以到达，去李子坝可以穿楼的地铁3站地铁就可以到达，超级方便 而且要说的是服务，真的超级赞，入住之前给打电话确认时间，办理入住的时候，给前台的小哥哥小姐姐说了想住高点的楼层，免费帮忙升级了一个套房，超级赞！而且装修的很小清新，适合漂亮的小姐姐们来拍照~ 而且办理入住的时候还很贴心的送上了水和养乐多，并且有小哥哥帮忙一起送上楼，给耐心的讲解屋里设施的使用，超级nice，会疯狂安利小伙伴们来体验，快快戳图看看啦(最后附上一个2号线线路图) 最后的最后，感谢店里的巧巧，太阳，葵花，小倪，高原，竹林小哥哥小姐姐们，真的让我感觉是旅行这么多次最好的体验，期待下次再会啦,发表于2019-07-24,2.0,7.0
5.0,前台小姐姐西西人很好，房间干净整洁，出行方便，好评！,发表于2020-03-21,1.0,1.0
5.0,有免费的停车场，酒店位置和室内环境都挺好的，前台工作人员，可可的服务很细致，谢谢！,发表于2020-04-15,3.0,
5.0,半夜到的，前台美女西西很热情，贴心告知入住信息还有酸奶赠送，退房的时候小刘帮忙提行李，还附赠了一副春联，赞�,发表于2020-01-21,7.0,
5.0,前台西西礼仪很好，长相甜美，酒店性价比很高！,发表于2020-04-01,8.0,2.0
5.0,服务相当赞，前台小姐姐免费帮忙升级了房间，员工看见客人都会主动打招呼，因为门口停车位不多，还帮忙处理了停车问题，全程帮我们拿着行李，热情的介绍房间，房间ins风装修，除了早餐不是很好吃，其他都很棒，300多的价位性价比极高,发表于2019-08-24,5.0,16.0
5.0,特别好，房间干净卫生住的炒鸡舒服，前台小姐姐服务态度很好哦！也很热情！素质也很高，超满意！好了剩下的就要凑够23个字了！,发表于2019-09-20,5.0,5.0
5.0,无差评果然是好 酒店更方面都让人很满意 早餐三明治套餐真的很好吃 其他的也可以试一下 行李管家也很方便 建议大家入住,发表于2020-01-18,3.0,
5.0,这个饭店以有竞争力的价格提供超值的客户体验。1，设施干净，房间布局合理，具有极高的审美设计。2，独立卫生间，与淋浴分开，带冲洗器的马桶。3，服务员非常热情有礼貌，重庆雨多。目测大堂的雨伞及时充分补充，未见雨伞不够大的时候。我好喝水，服务员几次给我提供免费水。4，交通方便，距离地铁站步行2-3分钟。5，提供机场行李送达业务。 作为常年在外出差的人，真心希望这样的企业能够迅速发展扩大，以后能在更多的城市入住他们的酒店。,发表于2019-12-22,1.0,
5.0,非常好的酒店，装修时尚温馨，新装修的，服务特别热情，小汐，竹林以及记不住名字的那个服务人员，都非常热情周到。出门下坡右转是一排小店，包子抄手锅盔等，都很本土，很好吃。吃火锅有一个美美，味道还不错吧，但是就不要要求什么服务了，基本没有，态度恶略，特别是戴眼镜男的，可能是老板，简直了，呵呵。酒店很棒，唯一不足的是，如果去解放碑，走路有点远，打车或公共交通才行。下次来还会选择的一家酒店。,发表于2019-12-22,2.0,1.0
5.0,酒店服务好，环境好，适合带孩子出游，我们一家三口住的迷你房也完全可以。还有免费的行李托运服务，对于带娃出游简直不要太方便！感谢小刘，竹林的热情周到的服务！,发表于2020-01-17,1.0,
5.0,很漂亮的酒店，服务也超好，入住前会提前打电话询问，入住的时候工作人员也特别好，退房是工作人员小汐还要另外的工作人员都很好，询问寄存行李什么的都很热心，棒棒哒，是那种住一次还会想要住下一次的酒店,发表于2019-12-19,2.0,
5.0,进入酒店最吸睛的就是餐厅，布置得太美了！办理入住的小姐姐也超级nice，见我抱着孩子主动迎上来帮忙拿东西，还随手拿了两杯酸奶，说路上幸苦了～本来订的小mini房看我带小孩就帮我免费升了两级，办理好入住手续后直接帮我把东西拎到房间，一路的服务真的是不愧没有差评！下次去重庆一定还会继续订这家,发表于2019-12-18,2.0,
5.0,酒店位置特别特别好，做地铁很方便，无论去解放碑，还是其他景点都很方便，前台办理入住很快，看的出来是很专业的团队房间设计的很漂亮，漂亮的不知道用什么语言形容)（原谅我词群)前台小刘服务很好，下次来继续选择这里,发表于2019-12-18,1.0,
5.0,首先是态度非常非常好，我带了小朋友一枚，对小朋友也很亲切，环境也干净，地势也优越，出门就是2号轻轨，离李子坝只有一站路，想去看穿越居民楼的朋友很方便的呦！,发表于2019-12-27,7.0,
5.0,酒店非常非常非常nice，地理位置很棒，很干净很舒服，并且服务人员也超友善，早上起来想问附近有什么好吃的特色小吃，月芽和小王都特别热心帮忙推荐和指路。,发表于2019-12-25,2.0,
